,t_38
0,0
1,2
2,0
3,0
4,0
5,3
6,0
7,2
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,0
20,0
21,1
22,1
24,2
25,0
26,0
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,3
36,3
37,0
38,2
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,2
47,0
48,0
49,3
50,0
51,0
52,2
53,3
54,0
55,2
56,0
57,2
58,0
59,3
60,0
61,3
62,2
63,1
64,1
65,0
66,2
67,3
68,2
69,0
70,3
71,0
72,3
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,3
82,3
83,0
84,0
85,1
86,3
87,3
88,3
89,1
90,0
91,2
92,0
93,0
94,0
95,3
96,0
97,0
98,0
99,2
100,1
101,0
102,0
103,3
104,0
105,3
106,0
107,0
