,value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,0
19,0
20,1
21,1
22,1
24,0
25,0
26,0
27,0
28,3
29,0
30,0
31,0
32,0
33,0
34,0
35,3
36,3
37,1
38,2
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,3
47,1
48,0
49,3
50,0
51,0
52,2
53,0
54,0
55,3
56,0
57,3
58,0
59,1
60,1
61,3
62,2
63,0
64,3
65,0
66,1
67,3
68,1
69,0
70,3
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,3
82,3
83,0
84,1
85,0
86,0
87,3
88,0
89,3
90,0
91,0
92,0
93,0
94,0
95,3
96,0
97,0
98,1
99,2
100,1
101,0
102,0
103,3
104,0
105,3
106,0
107,0
