,t_46
0,0
1,1
2,0
3,0
4,0
5,3
6,0
7,1
8,0
9,2
10,0
11,2
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,0
20,0
21,1
22,1
24,0
25,0
26,0
27,0
28,3
29,0
30,1
31,0
32,0
33,2
34,0
35,3
36,3
37,0
38,0
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,3
47,0
48,0
49,0
50,0
51,0
52,3
53,1
54,0
55,3
56,0
57,0
58,0
59,0
60,0
61,3
62,2
63,0
64,2
65,0
66,1
67,3
68,1
69,0
70,1
71,0
72,1
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,1
81,0
82,3
83,0
84,0
85,0
86,0
87,0
88,3
89,0
90,0
91,0
92,0
93,0
94,0
95,3
96,1
97,0
98,2
99,2
100,1
101,0
102,0
103,3
104,0
105,0
106,0
107,0
